Темные кольца (координаты)
index,value
-8,0.8
-7,0.97
-6,1.12
-5,1.31
-4,1.49
-3,1.73
-2,2.04
-1,2.40
0,3.23
1,4.09
2,4.50
3,4.75
4,4.95
5,5.14
6,5.30
7,5.45
8,5.63
9,5.78

Светлые кольца
index,value
-1,2.9
-3,2.22
-5,1.77
-7,1.40
-9,1.1
1,4.23
3,5.03
5,5.46
7,5.78
9,6.12

Прочие данные
parameter,value
Размер темного пятна,3.94-3.20
Первый центр (центр картинки),3.62
Количество полос,16
Калибровка,100 делений = 1 мм
Отсчет,7.75-0
Деления,77
